split,video_id,calibration_status,residual_median_px,residual_p95_px,ransac_inlier_ratio,black_key_anchor_count,method,notes,json_path,video_path,skipped_existing,elapsed_s
train,2024-02-14_19-10-09,failed,5.67709493637085,29.291626167297363,0.5161290322580645,43,white_edge,method=white_edge_correlation we_corr=0.511 we_med=5.68 bk_med=9.02 nc_med=8.10 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-14_19-10-09.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-14_19-10-09.mp4,False,3.28
train,2024-02-14_19-44-26,failed,5.069700241088867,195.08085556030267,0.5357142857142857,40,white_edge,method=white_edge_correlation we_corr=0.555 we_med=5.07 bk_med=11.40 nc_med=8.88 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-14_19-44-26.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-14_19-44-26.mp4,False,3.2
train,2024-02-14_20-37-55,failed,4.135747909545898,189.86387329101558,0.5161290322580645,45,white_edge,method=white_edge_correlation we_corr=0.537 we_med=4.14 bk_med=10.24 nc_med=9.25 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-14_20-37-55.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-14_20-37-55.mp4,False,3.19
train,2024-02-14_20-58-43,failed,5.0575995445251465,80.76383895874012,0.5483870967741935,45,white_edge,method=white_edge_correlation we_corr=0.508 we_med=5.06 bk_med=9.20 nc_med=7.50 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-14_20-58-43.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-14_20-58-43.mp4,False,3.06
train,2024-02-14_21-30-04,failed,4.167514801025391,188.05955200195302,0.5454545454545454,47,white_edge,method=white_edge_correlation we_corr=0.539 we_med=4.17 bk_med=9.72 nc_med=9.41 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-14_21-30-04.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-14_21-30-04.mp4,False,3.19
train,2024-02-15_15-13-10,accepted_loose,3.926337718963623,193.7350143432616,0.6296296296296297,42,white_edge,method=white_edge_correlation we_corr=0.527 we_med=3.93 bk_med=6.36 nc_med=9.59 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-15_15-13-10.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_15-13-10.mp4,False,3.1
train,2024-02-15_20-28-13,accepted_loose,3.933419942855835,189.7309020996093,0.4838709677419355,45,white_edge,method=white_edge_correlation we_corr=0.594 we_med=3.93 bk_med=11.56 nc_med=8.51 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-15_20-28-13.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_20-28-13.mp4,False,3.21
train,2024-02-15_20-54-38,failed,4.214090347290039,186.89586791992184,0.5454545454545454,48,white_edge,method=white_edge_correlation we_corr=0.553 we_med=4.21 bk_med=8.00 nc_med=9.01 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-15_20-54-38.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_20-54-38.mp4,False,3.08
train,2024-02-15_21-01-11,failed,4.129317760467529,188.20639419555664,0.5454545454545454,46,white_edge,method=white_edge_correlation we_corr=0.603 we_med=4.13 bk_med=8.64 nc_med=8.31 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-15_21-01-11.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_21-01-11.mp4,False,3.13
train,2024-02-15_21-18-14,accepted_loose,3.924900531768799,191.45326843261722,0.5806451612903226,44,white_edge,method=white_edge_correlation we_corr=0.605 we_med=3.92 bk_med=8.64 nc_med=8.94 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-15_21-18-14.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_21-18-14.mp4,False,3.03
