split,video_id,calibration_status,reason,json_path,video_path
train,2024-02-14_19-10-09,failed,residual_median_px=5.67709493637085 p95=29.291626167297363 anchors=43 notes=method=white_edge_correlation we_corr=0.511 we_med=5.68 bk_med=9.02 nc_med=8.10 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-14_19-10-09.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-14_19-10-09.mp4
train,2024-02-14_19-44-26,failed,residual_median_px=5.069700241088867 p95=195.08085556030267 anchors=40 notes=method=white_edge_correlation we_corr=0.555 we_med=5.07 bk_med=11.40 nc_med=8.88 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-14_19-44-26.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-14_19-44-26.mp4
train,2024-02-14_20-37-55,failed,residual_median_px=4.135747909545898 p95=189.86387329101558 anchors=45 notes=method=white_edge_correlation we_corr=0.537 we_med=4.14 bk_med=10.24 nc_med=9.25 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-14_20-37-55.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-14_20-37-55.mp4
train,2024-02-14_20-58-43,failed,residual_median_px=5.0575995445251465 p95=80.76383895874012 anchors=45 notes=method=white_edge_correlation we_corr=0.508 we_med=5.06 bk_med=9.20 nc_med=7.50 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-14_20-58-43.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-14_20-58-43.mp4
train,2024-02-14_21-30-04,failed,residual_median_px=4.167514801025391 p95=188.05955200195302 anchors=47 notes=method=white_edge_correlation we_corr=0.539 we_med=4.17 bk_med=9.72 nc_med=9.41 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-14_21-30-04.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-14_21-30-04.mp4
train,2024-02-15_20-54-38,failed,residual_median_px=4.214090347290039 p95=186.89586791992184 anchors=48 notes=method=white_edge_correlation we_corr=0.553 we_med=4.21 bk_med=8.00 nc_med=9.01 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-15_20-54-38.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_20-54-38.mp4
train,2024-02-15_21-01-11,failed,residual_median_px=4.129317760467529 p95=188.20639419555664 anchors=46 notes=method=white_edge_correlation we_corr=0.603 we_med=4.13 bk_med=8.64 nc_med=8.31 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-15_21-01-11.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_21-01-11.mp4
train,2024-02-15_21-40-43,failed,residual_median_px=4.719451427459717 p95=191.5645462036133 anchors=44 notes=method=white_edge_correlation we_corr=0.572 we_med=4.72 bk_med=6.97 nc_med=8.61 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-15_21-40-43.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_21-40-43.mp4
train,2024-02-15_21-57-38,failed,residual_median_px=4.152968406677246 p95=187.27976379394522 anchors=47 notes=method=white_edge_correlation we_corr=0.558 we_med=4.15 bk_med=9.57 nc_med=9.28 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-15_21-57-38.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_21-57-38.mp4
train,2024-02-15_22-02-16,failed,residual_median_px=4.289826393127441 p95=186.10702819824215 anchors=48 notes=method=white_edge_correlation we_corr=0.517 we_med=4.29 bk_med=10.10 nc_med=9.14 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-15_22-02-16.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_22-02-16.mp4
train,2024-02-15_22-18-32,failed,residual_median_px=4.286932468414307 p95=191.64986419677737 anchors=44 notes=method=white_edge_correlation we_corr=0.601 we_med=4.29 bk_med=6.63 nc_med=9.28 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-15_22-18-32.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_22-18-32.mp4
train,2024-02-15_22-57-11,failed,residual_median_px=4.3971848487854 p95=188.61033248901367 anchors=46 notes=method=white_edge_correlation we_corr=0.599 we_med=4.40 bk_med=5.53 nc_med=8.99 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-15_22-57-11.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_22-57-11.mp4
train,2024-02-15_23-14-13,failed,residual_median_px=4.570287704467773 p95=189.1760597229004 anchors=46 notes=method=white_edge_correlation we_corr=0.596 we_med=4.57 bk_med=9.94 nc_med=9.16 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-15_23-14-13.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_23-14-13.mp4
train,2024-02-16_14-41-07,failed,residual_median_px=5.559626579284668 p95=48.98851814270015 anchors=48 notes=method=white_edge_correlation we_corr=0.503 we_med=5.56 bk_med=10.15 nc_med=7.60 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-16_14-41-07.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-16_14-41-07.mp4
train,2024-02-16_23-19-03,failed,residual_median_px=6.327516078948975 p95=53.54275054931632 anchors=45 notes=method=white_edge_correlation we_corr=0.486 we_med=6.33 bk_med=9.86 nc_med=7.74 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-16_23-19-03.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-16_23-19-03.mp4
train,2024-02-17_00-12-50,failed,residual_median_px=7.020989894866943 p95=56.49914340972896 anchors=43 notes=method=white_edge_correlation we_corr=0.447 we_med=7.02 bk_med=9.78 nc_med=8.56 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-17_00-12-50.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-17_00-12-50.mp4
train,2024-02-17_00-29-10,failed,residual_median_px=4.65700626373291 p95=184.123663330078 anchors=49 notes=method=white_edge_correlation we_corr=0.496 we_med=4.66 bk_med=10.86 nc_med=8.75 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-17_00-29-10.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-17_00-29-10.mp4
